id,ground_truth
2,1
3,1
4,1
6,1
9,1
10,1
11,1
12,1
13,1
14,1
16,1
17,1
19,1
20,1
22,1
24,1
25,1
26,1
27,1
28,1
29,1
31,1
32,1
34,1
35,1
36,1
37,1
39,1
40,1
42,1
43,1
44,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
57,1
58,1
60,1
61,1
62,1
64,1
66,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
81,1
83,1
84,1
86,1
87,1
89,1
90,1
91,1
92,1
94,1
95,1
97,1
98,1
99,1
101,1
103,1
105,1
106,1
107,1
109,1
110,1
112,1
113,1
114,1
115,1
118,1
119,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
144,1
145,1
146,1
147,1
148,1
150,1
151,1
152,1
153,1
155,1
157,1
158,1
159,1
162,1
163,1
164,1
166,1
168,1
170,1
171,1
172,1
173,1
174,1
176,1
179,1
180,1
181,1
182,1
183,1
184,1
187,1
188,1
189,1
190,1
191,1
194,1
195,1
196,1
197,1
199,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
212,1
213,1
215,1
218,1
220,1
221,1
222,1
224,1
225,1
227,1
228,1
229,1
230,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
243,1
246,1
247,1
249,1
253,1
256,1
257,1
258,1
260,1
261,1
263,1
264,1
266,1
267,1
270,1
271,1
272,1
274,1
276,1
277,1
278,1
279,1
280,1
283,1
285,1
286,1
287,1
289,1
291,1
292,1
294,1
296,1
297,1
298,1
300,1
301,1
302,1
304,1
305,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
327,1
328,1
329,1
331,1
332,1
333,1
334,1
335,1
338,1
340,1
341,1
342,1
343,1
345,1
346,1
347,1
350,1
351,1
352,1
354,1
355,1
356,1
357,1
358,1
359,1
361,1
362,1
363,1
364,1
366,1
368,1
372,1
373,1
375,1
376,1
377,1
378,1
380,1
381,1
382,1
383,1
384,1
386,1
388,1
389,1
390,1
393,1
394,1
396,1
397,1
401,1
402,1
404,1
407,1
408,1
410,1
412,1
413,1
414,1
415,1
417,1
418,1
419,1
420,1
421,1
423,1
424,1
426,1
427,1
429,1
430,1
431,1
432,1
433,1
434,1
436,1
437,1
438,1
439,1
441,1
442,1
445,1
447,1
448,1
450,1
451,1
